Code,plan_clustername,ClusterDC,SC_ETADockdate,Sc_actualdockdate,Deploy_ETARTODate,Deploy_ActualRTODate,Buildout_ETAWaboHandoffDate,Buildout_ActualWaboHandoffDate,Buildout_ETALiveDate,Buildout_ActualLiveDate
845619,BY1PrdApp03,BY1,NULL,00:00.0,NULL,NULL,NULL,00:00.0,NULL,00:00.0
845620,BY1PrdApp04,BY1,NULL,00:00.0,NULL,NULL,NULL,00:00.0,NULL,00:00.0
845761,BL2PrdApp21,BL2,NULL,00:00.0,NULL,24:20.4,NULL,00:00.0,NULL,00:00.0
860268,BJBPrdApp03,BJB,NULL,00:00.0,NULL,56:40.6,NULL,18:08.0,NULL,00:00.0
860277,SH2PrdApp01,SH2,NULL,00:00.0,NULL,12:47.0,NULL,00:00.0,NULL,00:00.0
860286,AM3PrdApp14,AM3,NULL,00:00.0,NULL,11:18.6,NULL,00:00.0,NULL,00:00.0
860297,BL2PrdApp22,BL2,NULL,00:00.0,NULL,15:58.2,NULL,00:00.0,NULL,00:00.0
860298,BL3PrdApp09,BL3,NULL,00:00.0,NULL,01:12.4,NULL,00:00.0,NULL,00:00.0
867534,DB3PrdApp09-02,DB3,NULL,00:00.0,00:00.0,58:55.0,58:55.0,00:00.0,00:00.0,00:00.0
867536,DM1PrdApp03-02,DM1,NULL,00:00.0,00:00.0,44:50.0,44:50.0,00:00.0,00:00.0,00:00.0
867538,BN4PrdApp02-XArchive01,BN4,NULL,00:00.0,00:00.0,09:17.2,09:17.2,00:00.0,00:00.0,00:00.0
867541,AM3PrdApp22-06,AM3,NULL,00:00.0,00:00.0,39:34.8,39:34.8,09:44.1,NULL,NULL
925834,TY1PrdApp01,TY1,NULL,00:00.0,NULL,55:09.7,NULL,00:00.0,NULL,00:00.0
925835,OS1PrdApp02,OS1,NULL,00:00.0,NULL,26:19.5,NULL,00:00.0,NULL,00:00.0
925886,CQ1PrdApp02,CQ1,NULL,00:00.0,00:00.0,32:33.4,32:33.4,00:00.0,NULL,00:00.0
925919,CH1PrdApp02,CH1,NULL,00:00.0,NULL,31:05.5,NULL,00:00.0,NULL,00:00.0
925920,SN1PrdApp04,SN1,00:00.0,00:00.0,00:00.0,38:30.5,00:00.0,00:00.0,NULL,00:00.0
925922,CH3PrdApp10,CH3,NULL,00:00.0,NULL,44:12.5,NULL,00:00.0,NULL,00:00.0
925950,SN3TstApp09,SN3,NULL,00:00.0,00:00.0,52:35.8,52:35.8,NULL,52:35.8,NULL
925951,BY3PrdApp05,BY3,NULL,00:00.0,NULL,37:41.5,NULL,00:00.0,NULL,00:00.0
926035,CH3PrdApp11,CH3,NULL,00:00.0,NULL,06:38.4,NULL,00:00.0,NULL,00:00.0
926037,BY3PrdApp08,BY3,NULL,00:00.0,NULL,07:30.8,NULL,00:00.0,NULL,00:00.0
987335,HKNPrdApp02,HKN,NULL,00:00.0,00:00.0,20:55.7,20:55.7,00:00.0,00:00.0,00:00.0
987354,SG2PrdApp05,SG2,NULL,00:00.0,00:00.0,42:15.7,42:15.7,00:00.0,00:00.0,00:00.0
987398,ML1PrdApp01,ML1,NULL,00:00.0,00:00.0,10:03.7,10:03.7,00:00.0,00:00.0,00:00.0
987399,SY3PrdApp01,SY3,NULL,00:00.0,NULL,30:44.7,NULL,00:00.0,NULL,00:00.0
987449,MA1PrdApp01,MA1,NULL,00:00.0,00:00.0,08:39.6,08:39.6,00:00.0,00:00.0,00:00.0
991175,BL3PrdApp08,BL3,NULL,00:00.0,NULL,55:03.1,NULL,00:00.0,NULL,00:00.0
